Year,Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1990,Mozambique,,,,,,14337,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,2500,,,,,,,,,,,,,,,,,,,,,,,,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,9087,,,,,,,2875,,,,,,,22975,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,,,,,,516,,,,,,,,1667,,,,,,,,,,,,,,,,,,,,6212,,,,,,,,7397,,,,,,,,,,,,,,,,,,,,,,,,,,2722,,,,,,,,,,,1948,35711
1990,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,37516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339,,,,,,,,,1008,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26393,,,,,,,,,,,,,,,,,,,,,,,,,62526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34106,,,,15825,,,,,,,,,,,,
1990,Seychelles,,,,,,,,,,,,67,,,,,11,,,32,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,180,,,,,,40,,,,,,,,,,,,,,,,,1276,2,,,,,,22,,,,,25,,,,,,,,,,,,,34,,,2,,,,,,258,,,,,,,,,,,,,27,,,,,,25,,,,,,23,,,,,,61,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,11,83,,11,316,,,,,,,,5,,,,,,,,,,,5,,,274,,,,,,,,,,,,,
1990,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,
1990,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,..,,,,,,,,,,,,,,,,,,..,,,,,,..,,,..,,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,..,,,,,,,,,..,,,,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,,..,,,,,,,,,,,,,,,,
1990,Uganda,,,35,,,,,,,,,,,,,,49,,,44,,,,,,,,,,,,,,48841,,,,98,,,,,,137,,,,,,,,68,,144,,,,51,65659,170,,,,,44,,,0,,,162,,,,,241,,,,29,,226,29,,40,,,,,,,,,,,,10,,1313,,,,,,,390,,68,,,32265,,,,,,,,,49,,,,,184,,,,,,,39,,,,,,,,,,226,,,,,208,,,,,115,,,,9,,216,,,,,,,,,,,59,,,,295,214634,,,,,,,,,,58,,,,,,,,,378,,0,59,,,124116,,29,,,,,,105,,,,,,,,,,,,1034,31528,485,,,,,,,,,,194,84
1990,United Republic of Tanzania,,,,,,717,,,,,,,,,,,,,,,,,,,,,,80,,,,,,232210,,,,184,,,,,,,,,,343,15007,,,,,,,,,,19354,,,,,,,,,,,51,,,,,,,,,,,,605,,,,,,,,,,,,,,,,,4968,,,,,,,360,,,,,33613,,,,,,,79,,,,,,,7218,,,,,,,,113,,,,,,,,,144353,,370,,,,,,,,,,,,,,407,,,,,,,,,,,,,,,,68609,,,,,,,,,,,,214,,,,,,,467,409,,,,,,,,,,,,,,,,,,,,,,19706,,,682,,808,,,,,,,,,,18188,488
1990,Zambia,,,,,,123807,,,,,,81,,,,,,,,,,,,,,,,469,,,,,,0,,,10,227,,,,,,100,,,,,116,,,,,,,,,,27297,,,,,,235,,,,,,,,,,,65,,,,,,311,484,,,,,,,,,,,,,,,,4284,,,,,,,,,146,,,433,,,,,,,,,,,,,,17073,,,220,,,,,,,,,,,,,,41455,,2360,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,115,,,,,,,,,,6328,,,,,,,,,,,,,,,,,,,,,,349,,,1987,6930,459,,,,,,,,,,,34829
1990,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69618,,,,,,,,,,,,,,,,,482855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11426,,,,,,,,,,,,,,,,,,,,,,,,,19136,,,,,,,,,,,,18966,
1990,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3569,,,,,,12,,,,,,,,410,,,5,,,,,,,12178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,345,,,,,,,,,,,,,,,,,,,,,,5298,,,,,,,,46,,,,,,,,3112,,,,,,,,,,,,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,
1990,Cameroon,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Central African Republic,,,,,,,,,,,,9,20,,,,,,,,,,,,,,,,0,,,,,,,,,19,,,10010,,,,,,,,,,,,,,,5,,,13173,1,,,,,67,,,,,,,,,,,10537,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,88,,,,,,,,,15,,,81,0,,,,22094,,10,150,,,,,5,,,,,6,,,,,,,,,476,,,,,,,,,,,
1990,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30992,,,8067,,,,,,,,,715,,,,,,,,,,98,,,,,,,,,,,,,,,,,886,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2614,14822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Congo,,,,,,10334,,,,,,,,,,,,,,,,4357,,,,,,,,,,,,,,,3464,,,10616,3239,,,283,,,,,,,,,,164,,,,,67316,,,,,,,,485,,,,,,,,,8574,,,970,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,,,,,,,,,,,4678,,,,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,,,,,790,0,,,,,,,,,,3468,,,,,,,,,,,,,,,,,,,,,,,747,,,,,,,,,,,,,,51,,,,,,,,,,,
1990,Democratic Republic of the Congo,,,,,,468462,,,,,,,,,,,,,,,,,,,,,,,,,,,,20203,,,,,,,,,,,,,,,3647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22972,,,,,,,,,,,,,,,,,,,,,113409,,,,15895,,,,,,,,,,,,,,,,,18418,,,,,,,,,,,,,,,,
1990,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Gabon,,,34,,,342,,,,,,,,,,,,,,154,,16141,,,,,,,,,,,2161,52,,,15661,90,,,1398,,,107,,,,,5045,,,1049,,,,,,50,2754,,,,,,,,26892,,,,,,,,,4969,,,,,,27,1968,,,,,,,,1539,,,,,,,,,,,,,,5,,,10,,,,,,,,,773,,,,,,,,,,,17055,,,,,,,,,,,,,221,,,,,,,,,,,7392,,,,,,,,,,,,,,,,,60,,,,,65,,,,,,,,2012,,9431,,,,,,,,,,4,,,,,,,,,9,,,,7116,,,,69,,,,,,,,,,169,,,,,,,,,,,
1990,Sao Tome and Principe,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Botswana,,,,,,551,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,874,,,,,,,,,,,,,,,526,102,,,,,,,,,,108,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,1967,,,,185,,,161,,,,,122,,,,,,,505,,,,,,100,713,,,,,,,,292,,,,,,,,,184,,286,,,188,,,,,108,,,,116,,145,,,,,,,,137,,,,,,,,,,,,,,,,,,,,45,,,,,,,,5780,,,398,,,,129,,,,,,,,,,,,,,,295,,,3289,460,603,,,,,,,,,,1991,4905
1990,Eswatini,,,,,,4,,,,,,8,,,,,,,,,,,,,,,,161,,,,,,7,,,,4,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,2,,,,,,,,,,,,,,,,,,,,,,,46196,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,20848,,,,,,,,,,,,,,,,,,,,,,1,,,,,281,,,,,,,,,,,
1990,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,32,,5,,,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2777,,,,,,,,,,,,,,,,,,,,,,185,,,,116,95,,,,,,,,,,77,77
1990,Namibia,64,,716,,,24028,,693,74,94,,793,901,,74,72,48,,,272,,230,,,,,,975,790,,,45,105,575,,,175,279,,,,,48,4593,,,,,1652,,,45,,1005,,,112,149,4707,168,,,,,257,,,,,290,312,,,,116,793,,,,128,,13401,212,,,,,,,,79,,,,,,,,997,133,45,,89,,161,1219,,168,,,1641,,,,,,68,186,,52,,,64,,545,,,,,,,,158,,,,,,,,,203,,,,,763,,74,,,1453,,,,79,,246,,,,,,364,249,641,,,52,,,45,672,530,,,,,,,,,,45,,84,242,,,,,,138,12536,,508,,,294,,149,634,,,109,,,,,,,52,,,,712,380,,2540,1624,1553,,,,,,,,,,4473,21364
1990,South Africa,59,78,348,,,6602,,,623,,,4199,3523,,,161,2469,30,113,5864,,192,61,,158,,147,18470,979,23,23,3836,,2092,,,2303,2877,,118,,,650,8690,1786,,118,194,1302,,,1115,479,317,,944,953,137,7456,977,,,,,837,,,521,68,34114,2873,,,47,576,5608,,,306,,,33946,6486,26,3191,,,,,90,78,30,54,,,,,16,8356,1191,680,142,5788,,2441,10652,192,1070,54,,2140,,90,0,33,199,903,187019,308,158,,192,14,422,13336,889,54,104,163,,,,4711,,78,,11,,,,1058,346433,211,10904,23,125,17440,,1402,106,21,16073,21,59,28,533,33,1523,,59,59,116,199,1485,1622,19125,,,1625,,1143,773,1193,2094,220,26,,,,,,,604,2683,1964,28,384,427,,201,,,3233,,0,488,963,97,2619,,116,4268,113,,151,,,,,26,111,792,,,,4621,1822,175,117362,26,9267,,111,,,296,156,,,83,6346,61875
1990,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3507,,,,,,,,143,,,,,,,,393,,,2836,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,26721,15728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16968,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37576,,,,,,,,,,,,,,,,,,,,,,,8275,2542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,,,,,,,,,,,,,,,,,,,,,,,6131,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Cabo Verde,,,,,,1588,,,5,,,,,,,,,,,14,,,,,,,,,77,,,,,,,,,,,,,,,30,,,,,,,,9,,69,,,,,,,,,,,,,,,,,,,,,,102,,,11,7,,25,55,,,,,,,,60,539,,,,,,,,,,,,,,201,,2,,,,,,,,,,,,,,,5,,,,,9,,,,,,,4,,,,,,,51,,,,,62,,,,,84,,,,,,,,,,,4,,,1132,,,,,,,55,,,,,,,,,2475,,141,,,19,,,,,,,,,30,,,,,,18,,,,11,,,,,,,,,,,28,,14,,188,20,,,,,,,,,,
1990,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,51216,,,,,,,,,,,927756,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10359,,,99487,,,,,,,,133914,308,,,,,,,,,,,,,,,,,,,,,,,,,,,2793,5379,,,,,,,,422476,,,,9873,,,,,,,,,,,,,,,,,,,50297,31352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23556,,,620,,,,,,,,,,,,,,,,,,,,25298,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24859,7591,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,5697,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72943,,,1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Ghana,,,7,,,,,,,,,17,,,,,,,,,,8959,,,,,,,7,,,,41668,,,,61,147,,,8,,,121,,,,,,,,4902,,,,,,,16,,,,,,21,,,,,,16,,,,,117,,,,19,,,,,,,,,,,74,,,,,,,,454,,,,,,24,123,,30,,,8,,,,,,525,,9824,,,,,,,,,3592,,,,9,,,,,,,,,,,,,,,131,,,,4229,14876,,,,,,47,,,,,,20,34,,,,,,,,47,268,,,,,,,,,,53,,,119,,,,,,,,,,15,,18,,,104,37,,,,61553,,,,,,,,,,,,972,6,437,,,,,,,,,,,
